Start Date,d1,d2,d3,d7,d14,Mean TemperatureF,weather,is_weekend,Y
2013-01-15 00:00:00,120.0,315.0,358.0,137.0,769.0,32,4,0,92.0
2013-01-15 01:00:00,61.0,266.0,237.0,77.0,822.0,32,4,0,55.0
2013-01-15 02:00:00,25.0,244.0,263.0,51.0,361.0,32,4,0,38.0
2013-01-15 03:00:00,24.0,143.0,134.0,24.0,324.0,32,4,0,36.0
2013-01-15 04:00:00,23.0,111.0,86.0,52.0,251.0,32,4,0,25.0
2013-01-15 05:00:00,78.0,62.0,48.0,91.0,166.0,32,4,0,101.0
2013-01-15 06:00:00,415.0,71.0,65.0,643.0,148.0,32,4,0,550.0
2013-01-15 07:00:00,1399.0,109.0,118.0,2064.0,78.0,32,4,0,1820.0
2013-01-15 08:00:00,2828.0,156.0,267.0,3896.0,113.0,32,4,0,3380.0
2013-01-15 09:00:00,1526.0,390.0,564.0,1762.0,187.0,32,4,0,1629.0
2013-01-15 10:00:00,565.0,686.0,802.0,764.0,312.0,32,4,0,662.0
2013-01-15 11:00:00,492.0,829.0,995.0,718.0,581.0,32,4,0,607.0
2013-01-15 12:00:00,461.0,1089.0,1135.0,979.0,781.0,32,4,0,837.0
2013-01-15 13:00:00,398.0,1270.0,1164.0,1080.0,1182.0,32,4,0,911.0
2013-01-15 14:00:00,256.0,1182.0,1237.0,933.0,1269.0,32,4,0,779.0
2013-01-15 15:00:00,351.0,1143.0,1163.0,971.0,1230.0,32,4,0,821.0
2013-01-15 16:00:00,938.0,917.0,1083.0,1495.0,932.0,32,4,0,1296.0
2013-01-15 17:00:00,2296.0,753.0,895.0,3162.0,637.0,32,4,0,2732.0
2013-01-15 18:00:00,2074.0,623.0,705.0,2728.0,482.0,32,4,0,2365.0
2013-01-15 19:00:00,1120.0,449.0,499.0,1563.0,395.0,32,4,0,1376.0
2013-01-15 20:00:00,634.0,332.0,373.0,908.0,320.0,32,4,0,829.0
2013-01-15 21:00:00,415.0,268.0,273.0,567.0,117.0,32,4,0,567.0
2013-01-15 22:00:00,314.0,236.0,290.0,325.0,93.0,32,4,0,372.0
2013-01-15 23:00:00,152.0,186.0,328.0,206.0,57.0,32,4,0,238.0
2013-01-16 00:00:00,92.0,120.0,315.0,94.0,73.0,29,1,0,115.0
2013-01-16 01:00:00,55.0,61.0,266.0,68.0,70.0,29,1,0,48.0
2013-01-16 02:00:00,38.0,25.0,244.0,27.0,51.0,29,1,0,32.0
2013-01-16 03:00:00,36.0,24.0,143.0,17.0,32.0,29,1,0,24.0
2013-01-16 04:00:00,25.0,23.0,111.0,27.0,35.0,29,1,0,15.0
2013-01-16 05:00:00,101.0,78.0,62.0,84.0,77.0,29,1,0,67.0
2013-01-16 06:00:00,550.0,415.0,71.0,589.0,334.0,29,1,0,541.0
2013-01-16 07:00:00,1820.0,1399.0,109.0,1902.0,1150.0,29,1,0,1764.0
2013-01-16 08:00:00,3380.0,2828.0,156.0,3635.0,2281.0,29,1,0,3369.0
2013-01-16 09:00:00,1629.0,1526.0,390.0,1668.0,1083.0,29,1,0,1790.0
2013-01-16 10:00:00,662.0,565.0,686.0,724.0,559.0,29,1,0,716.0
2013-01-16 11:00:00,607.0,492.0,829.0,698.0,655.0,29,1,0,616.0
2013-01-16 12:00:00,837.0,461.0,1089.0,982.0,820.0,29,1,0,857.0
2013-01-16 13:00:00,911.0,398.0,1270.0,1149.0,702.0,29,1,0,904.0
2013-01-16 14:00:00,779.0,256.0,1182.0,1014.0,383.0,29,1,0,818.0
2013-01-16 15:00:00,821.0,351.0,1143.0,1056.0,433.0,29,1,0,845.0
2013-01-16 16:00:00,1296.0,938.0,917.0,1552.0,873.0,29,1,0,1218.0
2013-01-16 17:00:00,2732.0,2296.0,753.0,2980.0,2143.0,29,1,0,2540.0
2013-01-16 18:00:00,2365.0,2074.0,623.0,2624.0,1667.0,29,1,0,2337.0
2013-01-16 19:00:00,1376.0,1120.0,449.0,1522.0,841.0,29,1,0,1257.0
2013-01-16 20:00:00,829.0,634.0,332.0,897.0,534.0,29,1,0,742.0
2013-01-16 21:00:00,567.0,415.0,268.0,582.0,379.0,29,1,0,502.0
2013-01-16 22:00:00,372.0,314.0,236.0,464.0,288.0,29,1,0,392.0
2013-01-16 23:00:00,238.0,152.0,186.0,297.0,265.0,29,1,0,271.0
2013-01-17 00:00:00,115.0,92.0,120.0,139.0,145.0,30,0,0,137.0
2013-01-17 01:00:00,48.0,55.0,61.0,71.0,115.0,30,0,0,73.0
2013-01-17 02:00:00,32.0,38.0,25.0,52.0,65.0,30,0,0,43.0
2013-01-17 03:00:00,24.0,36.0,24.0,38.0,35.0,30,0,0,36.0
2013-01-17 04:00:00,15.0,25.0,23.0,41.0,26.0,30,0,0,31.0
2013-01-17 05:00:00,67.0,101.0,78.0,82.0,74.0,30,0,0,82.0
2013-01-17 06:00:00,541.0,550.0,415.0,552.0,426.0,30,0,0,495.0
2013-01-17 07:00:00,1764.0,1820.0,1399.0,1845.0,1419.0,30,0,0,1570.0
2013-01-17 08:00:00,3369.0,3380.0,2828.0,3747.0,2668.0,30,0,0,3214.0
2013-01-17 09:00:00,1790.0,1629.0,1526.0,1721.0,1313.0,30,0,0,1709.0
2013-01-17 10:00:00,716.0,662.0,565.0,717.0,647.0,30,0,0,721.0
2013-01-17 11:00:00,616.0,607.0,492.0,657.0,617.0,30,0,0,638.0
2013-01-17 12:00:00,857.0,837.0,461.0,949.0,917.0,30,0,0,898.0
2013-01-17 13:00:00,904.0,911.0,398.0,919.0,986.0,30,0,0,948.0
2013-01-17 14:00:00,818.0,779.0,256.0,778.0,922.0,30,0,0,766.0
2013-01-17 15:00:00,845.0,821.0,351.0,982.0,968.0,30,0,0,825.0
2013-01-17 16:00:00,1218.0,1296.0,938.0,1384.0,1357.0,30,0,0,1241.0
2013-01-17 17:00:00,2540.0,2732.0,2296.0,2827.0,2705.0,30,0,0,2539.0
2013-01-17 18:00:00,2337.0,2365.0,2074.0,2579.0,2096.0,30,0,0,2216.0
2013-01-17 19:00:00,1257.0,1376.0,1120.0,1427.0,1214.0,30,0,0,1284.0
2013-01-17 20:00:00,742.0,829.0,634.0,888.0,774.0,30,0,0,717.0
2013-01-17 21:00:00,502.0,567.0,415.0,535.0,479.0,30,0,0,589.0
2013-01-17 22:00:00,392.0,372.0,314.0,429.0,375.0,30,0,0,404.0
2013-01-17 23:00:00,271.0,238.0,152.0,333.0,258.0,30,0,0,333.0
2013-01-18 00:00:00,137.0,115.0,92.0,153.0,221.0,30,4,0,156.0
2013-01-18 01:00:00,73.0,48.0,55.0,95.0,98.0,30,4,0,72.0
2013-01-18 02:00:00,43.0,32.0,38.0,44.0,62.0,30,4,0,76.0
2013-01-18 03:00:00,36.0,24.0,36.0,43.0,36.0,30,4,0,36.0
